station,region,n,field_dep,mdl_near,mismatch,adj_dep,adj_off_m,adj_lon,adj_lat
OA30W,OA,1,6.4,6.3,0.1,6.4,123,115.6731,-32.0789
OA31,OA,11,15.3,5.3,10.0,15.5,288,115.6922,-32.0784
OA32,OA,4,14.6,9.3,5.3,14.5,273,115.6895,-32.0704
OA33,NW,16,16.5,13.2,3.3,15.1,195,115.6882,-32.0633
OA33W,NW,1,14.4,13.6,0.7,14.3,229,115.6814,-32.0607
OA35,OA,5,7.8,9.2,-1.4,7.1,277,115.6562,-32.0803
OA36N,NW,2,14.6,13.8,0.8,13.9,217,115.6606,-32.058
OA40,OA,4,13.4,10.4,2.9,10.7,153,115.6351,-32.0783
OA45,NW,5,20.5,20.1,0.4,20.4,275,115.6159,-32.0802
OA5,OA,10,7.8,5.6,2.2,7.3,216,115.731,-32.069
OA50,NW,6,18.8,18.8,-0.0,18.8,149,115.6155,-32.0996
OA55,OA,5,10.5,10.6,-0.1,10.6,130,115.6408,-32.0996
OA60,OA,9,9.1,9.3,-0.3,9.2,193,115.6633,-32.1048
OA62,OA,3,14.7,9.3,5.4,13.0,285,115.686,-32.1075
OA62S,OA,1,4.5,5.0,-0.5,4.5,299,115.6806,-32.1239
OA63,OA,2,15.3,7.6,7.6,11.0,264,115.6934,-32.1123
OA64,OA,2,14.2,13.8,0.4,14.3,169,115.6964,-32.1107
OA64CM,OA,1,8.4,14.4,-6.0,9.7,290,115.6964,-32.1131
OA65,OA,37,15.6,14.3,1.3,15.5,126,115.7062,-32.1104
OA68,OA,4,15.4,15.4,0.0,15.4,91,115.7216,-32.1114
OA68E,OA,1,9.0,9.0,-0.1,9.0,56,115.7329,-32.1114
OA69,OA,2,8.7,9.8,-1.1,9.0,260,115.7329,-32.1114
OA70,OA,12,15.2,8.4,6.8,8.7,185,115.7439,-32.1096
OA70SW,OA,1,12.9,7.8,5.0,11.3,298,115.73,-32.1206
OA71,OA,2,8.6,8.8,-0.3,8.3,268,115.7599,-32.1136
OA72,OA,5,15.0,14.6,0.4,15.0,209,115.6998,-32.1176
OA72A,OA,18,15.6,5.7,9.8,14.0,278,115.701,-32.1232
OA72N,OA,6,14.7,11.3,3.4,14.6,240,115.6972,-32.1108
OA72W,OA,6,14.8,11.3,3.5,14.7,168,115.7004,-32.1204
OA75,OA,9,4.2,4.6,-0.5,4.1,196,115.7218,-32.1308
OA80,OA,41,15.0,7.9,7.2,13.1,290,115.7036,-32.1295
OA802,CS,1,7.0,21.8,-14.8,21.2,204,115.6975,-32.1471
OA804,OA,1,18.4,19.7,-1.3,18.5,252,115.6994,-32.1381
OA807,OA,1,20.5,20.9,-0.4,20.5,220,115.6931,-32.1466
OA809,CS,1,20.8,20.7,0.0,20.8,262,115.6897,-32.1534
OA810,CS,1,21.1,19.1,2.0,20.5,168,115.6866,-32.1594
OA812,CS,1,18.8,14.9,3.9,18.8,271,115.6845,-32.1657
