station,region,lat,lon,model_lon,model_lat,note
OA55,OA,-32.099115,115.641994,115.641994,-32.099115,
OA60,OA,-32.104613,115.665323,115.665323,-32.104613,
OA62,OA,-32.108881,115.683522,115.683522,-32.108881,
OA62S,OA,-32.12128,115.68133,115.68133,-32.12128,
OA63,OA,-32.114608,115.69299,115.69299,-32.114608,
OA64,OA,-32.111026,115.694599,115.694599,-32.111026,
OA64CM,OA,-32.110612,115.69559,115.69559,-32.110612,
OA65,OA,-32.11128,115.705331,115.705331,-32.11128,
OA68,OA,-32.111273,115.720657,115.720657,-32.111273,
OA68E,OA,-32.11178,115.732489,115.732489,-32.11178,
OA69,OA,-32.113607,115.731997,115.731997,-32.113607,
OA70,OA,-32.111278,115.743656,115.743656,-32.111278,
OA70SW,OA,-32.121115,115.733165,115.733165,-32.121115,
OA71,OA,-32.111542,115.758512,115.758512,-32.111542,
OA72,OA,-32.119395,115.700606,115.700606,-32.119395,
OA72A,OA,-32.125532,115.699989,115.699989,-32.125532,
OA72N,OA,-32.112946,115.697157,115.697157,-32.112946,
OA72W,OA,-32.119246,115.699209,115.699209,-32.119246,
OA75,OA,-32.129609,115.720327,115.720327,-32.129609,
OA80,OA,-32.131274,115.701328,115.7027,-32.1307,into Success channel: nearest cell was 7.9m flank; ~12.5m channel cell ~145m E
OA802,CS,-32.146781,115.699656,115.699656,-32.146781,
OA804,OA,-32.138941,115.696862,115.696862,-32.138941,
OA807,OA,-32.147931,115.691359,115.691359,-32.147931,
OA809,CS,-32.154965,115.687632,115.687632,-32.154965,
OA810,CS,-32.15861,115.685098,115.685098,-32.15861,
OA812,CS,-32.16489,115.681805,115.681805,-32.16489,
OA814,W,-32.173443,115.676761,115.676761,-32.173443,
OA81A,OA,-32.138779,115.697829,115.697829,-32.138779,
OA81B,OA,-32.138773,115.701656,115.701656,-32.138773,
OA81C,OA,-32.138446,115.703156,115.703156,-32.138446,
OA81D,OA,-32.137608,115.704991,115.704991,-32.137608,
OA81E,OA,-32.137197,115.706322,115.706322,-32.137197,
OA81G,OA,-32.134941,115.702665,115.702665,-32.134941,
OA81H,OA,-32.135607,115.705157,115.705157,-32.135607,
OA85,OA,-32.135442,115.676992,115.676992,-32.135442,
OA85A,OA,-32.141276,115.681997,115.681997,-32.141276,
OA85B,OA,-32.145281,115.686328,115.686328,-32.145281,
OA85N,OA,-32.120781,115.679323,115.679323,-32.120781,
OA85NN,NW,-32.119946,115.772994,115.772994,-32.119946,
OA88,OA,-32.135441,115.669157,115.669157,-32.135441,
OA90,OA,-32.137946,115.660322,115.660322,-32.137946,
OA95,NW,-32.13794,115.635323,115.635323,-32.13794,
OA95W,NW,-32.137282,115.628665,115.628665,-32.137282,
OA95W2,NW,-32.139912,115.637488,115.637488,-32.139912,
OA95W4,NW,-32.139907,115.647115,115.647115,-32.139907,
OA95W6,OA,-32.144094,115.65739,115.65739,-32.144094,
OA95W8,OA,-32.147026,115.665946,115.665946,-32.147026,
OA95WA,OA,-32.149546,115.676629,115.676629,-32.149546,
OA95WC,OA,-32.149695,115.679659,115.679659,-32.149695,
OA95WE,CS,-32.15146,115.693291,115.693291,-32.15146,
OA95WG,CS,-32.150729,115.702865,115.702865,-32.150729,
OA95WI,CS,-32.151677,115.71003,115.71003,-32.151677,
OA95WK,CS,-32.151178,115.724893,115.724893,-32.151178,
OA95WM,CS,-32.151174,115.73978,115.73978,-32.151174,
OA98,NW,-32.139776,115.645823,115.645823,-32.139776,
PK10,OA,-32.14111,115.703489,115.703489,-32.14111,
PPS005,NW,-32.149124,115.392504,115.392504,-32.149124,
PPS010,W,-32.183443,115.416657,115.416657,-32.183443,
RC20,W,-32.167959,115.454847,115.454847,-32.167959,
