set,sim,model,zone,variable,metric,value,n_matched,source
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_BEN,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_BEN,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS1,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS1,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS1,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS1,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS1,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS1,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS1,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS2,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS2,MAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS2,MEF,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS2,NMAE,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS2,NRMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS2,R,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NCS_SS2,RMS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_RES,BIAS,,0,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_PHY_MPB_RES,MAE,,0,errormatrix.mat
